t,o,c,h,l,v
2010-08-12,1.1866666666666668,1.1733333333333333,1.1933333333333331,1.1593333333333333,691000.0
2010-08-13,1.212,1.2213333333333334,1.23,1.17736,634000.0
2010-08-16,1.23,1.252,1.2533333333333334,1.21744,485800.0
2010-08-17,1.264,1.2766666666666666,1.2933333333333332,1.252,447900.0
2010-08-18,1.306,1.2513333333333334,1.306,1.24,601300.0
2010-08-19,1.236,1.2526666666666666,1.2833333333333332,1.222,579100.0
2010-08-20,1.2433333333333332,1.2733333333333334,1.274,1.2340066666666667,296000.0
2010-08-23,1.2726666666666666,1.3419999999999999,1.3592733333333333,1.2666666666666666,1088100.0
2010-08-24,1.2833333333333332,1.28,1.314,1.2633333333333332,673100.0
2010-08-25,1.2773333333333334,1.3266666666666667,1.332,1.2373333333333332,503300.0
2010-08-26,1.326,1.3166666666666667,1.3513333333333333,1.3066666666666666,433800.0
2010-08-27,1.3166666666666667,1.3133333333333332,1.3243333333333331,1.3,379600.0
2010-08-30,1.3133333333333332,1.3246666666666667,1.346,1.3073333333333332,732800.0
2010-08-31,1.3106666666666666,1.2986666666666666,1.3193333333333332,1.2886666666666666,201100.0
2010-09-01,1.308,1.3633333333333333,1.3793333333333333,1.3066666666666666,494900.0
2010-09-02,1.358,1.404,1.416,1.35402,487100.0
2010-09-03,1.3913333333333333,1.4033333333333333,1.42,1.3773333333333333,434600.0
2010-09-07,1.3739999999999999,1.3693333333333333,1.4,1.3666666666666667,243400.0
2010-09-08,1.3773333333333333,1.3933333333333333,1.3966666666666665,1.3733333333333335,288400.0
2010-09-09,1.4,1.3806666666666667,1.4033333333333333,1.3793333333333333,376200.0
2010-09-10,1.3833333333333333,1.3446666666666667,1.3953333333333333,1.3173333333333335,386600.0
2010-09-13,1.3926666666666667,1.3813333333333333,1.3933,1.3666666666666667,360800.0
2010-09-14,1.3693333333333333,1.4080000000000001,1.4400000000000002,1.3686666666666667,654700.0
2010-09-15,1.3986666666666667,1.4653333333333334,1.4666666666666666,1.386,684600.0
2010-09-16,1.4766666666666666,1.3960000000000001,1.544,1.3893333333333333,2684500.0
2010-09-17,1.4013333333333333,1.3486666666666667,1.4213333333333333,1.32,1198500.0
2010-09-20,1.3780000000000001,1.4036666666666666,1.4233333333333333,1.344,947500.0
2010-09-21,1.3926666666666667,1.3846666666666667,1.4366666666666668,1.3780000000000001,796000.0
2010-09-22,1.3913333333333333,1.3246666666666667,1.3966666666666665,1.32,962900.0
2010-09-23,1.326,1.3039999999999998,1.3426666666666667,1.3,668100.0
2010-09-24,1.3299999999999998,1.34,1.346,1.3099999999999998,578900.0
2010-09-27,1.3599999999999999,1.3686666666666667,1.3873333333333333,1.3366666666666667,418600.0
2010-09-28,1.4026666666666665,1.4266666666666665,1.4326666666666665,1.3840000000000001,1214500.0
2010-09-29,1.4126666666666667,1.4653333333333334,1.4686666666666668,1.4086666666666665,1969300.0
